address,eth_balance,total_txs,sent_txs,received_txs,sent_to_contract_txs,received_from_contract_txs,external_txs,internal_txs
0x00a9c709eb10ef6e85a2de0b038fff9aec0c022f,1.25100906e-07,1,1,0,0,0,1,0
0x00a9df4ffc011ed3f83a502bc4b17251295f5946,0.0,1,1,0,0,0,1,0
0x00ab502738737319efc717d6110f61504576f09a,0.25844476838119235,1,0,1,0,0,1,0
0x00ae7e46a95b498cbed5a8b7e5965f8b360d688e,0.001024704575917941,1,1,0,1,0,1,0
0x00b19a5200a100e5fc4c9800772f4d002f218400,0.0,1,0,1,0,0,1,0
0x00b1bfdc93aaa14811d92583f72db455b895d5b3,0.017907145591258705,1,0,1,0,0,1,0
0x00b89f6bc8531ffb348853d5642031a7b7ef5bf3,0.001983974104223,1,1,0,0,0,1,0
0x00b91e4a6b70d2974865c4ff9ddfb7dd7bd586a2,2.9613434661055e-05,1,1,0,1,0,1,0
0x00b92c63e62b8307c6623b5293f208feb89f4163,0.000207240346528258,1,1,0,1,0,1,0
0x00bce2aaebd002fe0ec7411a9fe3abe9b9d4ec32,0.15357687048767185,1,1,0,0,0,1,0
0x00bd181b9bd739597bfb018ecb55d3e669855922,2.4458201951736194,7,7,0,7,0,7,0
0x00bdb5699745f5b860228c8f939abf1b9ae374ed,2.7329252636056145,4,4,0,4,0,4,0
0x00c4da9defbb8e278ae53269eb2e81b1990dc935,0.000461107014630208,1,1,0,1,0,1,0
0x00cd000000003f7f682be4813200893d4e690000,0.0,1,0,1,0,0,1,0
0x00ce8f5adc60752d15e443e520754188e06c0292,0.013812265870664447,1,1,0,1,0,1,0
0x00cfc649b00fdba862580a9b8f2703a867b3ae3f,0.0,1,0,1,0,0,1,0
0x00d11c0433af8de604e5e15d3616cadd66ded089,0.000570800568855279,3,3,0,3,0,3,0
0x00d360dfcb676006508b33d7dabee0de8c701575,0.09767141989483197,1,1,0,1,0,1,0
0x00d43dc724ac02952a0ba5b7d7faa123e3c56a39,0.0,1,0,1,0,0,1,0
0x00d44017cdc15945591e0861c2b84e99c0e2a4ef,1.531638591e-06,1,0,1,0,0,1,0
0x00d4c940a5f4f09d0163f5d88230e9de52a99b27,3.979937e-05,2,1,1,1,0,2,0
0x00d60cb90c191677a69510c452a4246ae8cf5509,4.282869339415181,1,1,0,0,0,1,0
0x00d9fe085d99b33ab2aae8063180c63e23bf2e69,0.10770367094967145,9,9,0,9,0,9,0
0x00e248f1ff36bc70290082ec0a98af4317d7c052,0.0,2,0,2,0,0,2,0
0x00e28a72cb0c343876f8770e9a839e87989a71e0,0.018351997110848724,1,1,0,1,0,1,0
0x00e3ec407b0f9095f3ad7c74542b80fe19729409,0.01940589041801008,2,2,0,2,0,2,0
0x00e51fc7c01b09613a6985a65f8f04f48c94e0b9,0.001547175261471,1,0,1,0,0,1,0
0x00e647ef0cbf19dd1c2986d675465c5713436bdc,5.593510125e-07,3,3,0,2,0,3,0
0x00e6b501601c069476acdb9b8a3c04d8f735aed0,0.5541600930979578,1,1,0,1,0,1,0
0x00eb032a9331aa866c788c98243dcb24f3da4735,0.005,1,1,0,0,0,1,0
0x00efe999760659adea18486cd27f8bd9f4e39364,0.013211047310305174,1,1,0,1,0,1,0
0x00f02a78bc78868f01aac16ccbe3099351d8e955,0.30030060943381853,2,1,1,1,0,2,0
0x00f18ccb682d2b6b935a3bbd3f1d237d263e05c0,0.11115668440919929,2,2,0,2,0,2,0
0x00f216cd643a9ec27584cd1e8209f248516ec928,0.001085442856252589,1,1,0,1,0,1,0
0x00fc5eab463936cb5fe699faa5525405b1a2dd4c,0.03574876906225043,3,2,1,2,0,3,0
0x00fc665a0c5e0cabdc259c823911729697ef9e29,0.009765823951528944,1,1,0,1,0,1,0
0x00fc81d1839a686d3b87f14644b0cc07a9b7c8b1,6.79951419e-06,1,1,0,0,0,1,0
0x00ff68b09fe639bc8c6a4b1e70f62c334092975f,0.0,2,2,0,2,0,2,0
0x00ffae0eb35cf760398fffbf8febff8c6a886030,0.00028459755561016,1,1,0,1,0,1,0
0x01034acca07e00c492149e994c33e6eadbb1c23c,4.765278756e-06,2,1,1,0,0,2,0
0x0104a4df1defc220c946ebde6ec2255b85e00239,1.924667913e-06,2,1,1,0,0,2,0
0x010ae7cbdd926fbc194582eac990afb08ef9d65f,0.00048082391819168,2,1,1,1,0,2,0
0x010d317f974ce2ad741c8837e86fb5c52573800e,0.000662451260097479,2,2,0,2,0,2,0
0x01125d0809dd068fc4763afc18b83523098e7dcf,0.0004679107859527,1,1,0,0,0,1,0
0x0113a6b755fbad36b4249fd63002e2035e401143,0.10910314397484092,16,16,0,0,0,16,0
0x01169c89cde8ff4a91b613d4f9c1b5ec6e7341c3,1.2236091689386666,1,0,1,0,0,1,0
0x011c6e6b25a3f45397667a471a2cb400e8335c54,6.419602768947e-06,1,1,0,1,0,1,0
0x012049020ab1e43480d88851d09a3087624fa1da,0.0,1,1,0,0,0,1,0
0x0120ce0e38f5fc92cdb2aa1eb89e2e509fa5ae7b,0.013989874870118,2,1,1,0,0,2,0
0x012259c7510e65b3acad37cbb4fd67eaac24937c,177.92855311420138,45,45,0,0,0,45,0
0x012333fce7d538ae8e6834a61e3d3b5f2549888c,0.014870123704426676,1,1,0,1,0,1,0
0x0124d0fa0dfb1430dfcff16ec6a96945e7a0bc10,119.6113419610539,2,2,0,2,0,2,0
0x01266ad566a14cf700b3e1304cfe972b56e1ae12,0.05640717041138339,1,1,0,1,0,1,0
0x0126d225a14c65f34141c68a9168e01ea8eb4b94,0.910777926392465,2,2,0,2,0,2,0
0x0128759cb3d8703b67a7ca8e91dc5117f8a0c29a,0.001766,1,0,1,0,0,1,0
0x0128d88edf9b1410ca1b1ef7240ab1ff34b719ed,2.169092676572e-06,5,4,1,2,0,5,0
0x012d7c7a7e02714c418d52677f396acd57612cd3,0.00012331613626,18,9,9,0,0,18,0
0x0135dbac974bb96878ee0d6f89969238240ab870,3.050343009e-06,2,1,1,0,0,2,0
0x0137a479aa8655fd3cf2431c3f1f6e611d9c4c11,1.727958351e-06,1,1,0,0,0,1,0
0x0137efd32df0c5022943e9d0b8d39003e63744d4,0.0,1,1,0,1,0,1,0
0x013a0e7cad4491effb060ce325eef9e7d3840410,0.000711687490342139,1,1,0,1,0,1,0
0x013a7b462107c1392300478337d17d668dc9a3a9,7.082357542071031,1,1,0,1,0,1,0
